Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	179.1261	-166.2502	345.3763	0.6523857	2.742161	0.1587492
6	180.9265	-164.1523	345.0788	0.672161	3.507676	0.1680123
12	174.8071	-169.9846	344.7917	0.3915965	6.942301	0.6532265
18	176.2708	-168.5148	344.7856	0.3915965	7.098228	0.4259489
24	179.0725	-166.4668	345.5393	0.1197907	4.988487	0.371216
30	176.0101	-166.5079	342.518	0.05392919	33.56966	0.518359
36	176.3732	-167.2015	343.5746	0.0113779	19.13792	0.4645818
42	180.1895	-164.9289	345.1184	0.1761249	6.123679	0.2989628
48	178.4146	-165.6431	344.0577	0.3793642	10.45696	0.2699208
54	170.0784	-173.7638	343.8423	0.1854829	13.42379	0.2668972
60	178.3912	-165.7749	344.1661	0.328319	9.207337	0.205951
66	174.2188	-170.6432	344.862	0.2575346	7.417745	0.5462337
72	175.6327	-168.8379	344.4706	0.7447069	4.625468	0.1331791
78	176.0307	-168.3269	344.3576	0.6370872	7.596328	0.3140736
84	174.3394	-168.5651	342.9046	0.1061884	20.69294	0.1643384
90	178.0472	-167.9596	346.0068	0.1258076	3.609389	0.4421213
96	177.3256	-168.8006	346.1263	0.1215087	3.210881	0.3646818
102	176.8365	-166.7697	343.6062	0.1936551	15.81181	0.2961184
108	181.5059	-165.0193	346.5252	0.1818016	2.285854	0.4318686
114	177.6035	-167.8773	345.4808	0.4542711	3.763771	0.2741175
120	181.4976	-163.2995	344.7971	0.2080752	6.95793	0.240038
126	179.3494	-167.4806	346.8299	0.1046159	1.367041	0.1833394
132	178.6333	-165.5666	344.1999	0.6595039	7.183748	0.2013844
138	170.2049	-172.1305	342.3354	0.6595039	20.30791	0.1530013
144	179.8909	-166.0445	345.9355	0.04662095	3.844487	0.331521
150	173.8195	-168.3342	342.1537	0.1017729	36.43085	0.2662631
156	182.3854	-163.9704	346.3557	0.1207226	2.630879	0.3368782
162	178.2182	-168.7827	347.0009	0.3473593	1.312325	0.493958
168	183.1317	-161.5122	344.6439	0.2479881	7.330351	0.224621
174	184.7613	-160.2751	345.0364	0.6990781	4.053627	0.224621
180	183.6451	-160.5764	344.2215	0.3760019	9.515052	0.2769968
186	180.7909	-165.2727	346.0636	0.1896401	3.299651	0.4555606
192	174.9801	-171.0533	346.0334	0.1523294	2.709513	0.1978837
198	169.7235	-175.8074	345.5309	0.5791273	3.391488	0.2993973
204	179.4747	-165.846	345.3207	0.01563559	5.551228	0.2409891
210	176.3907	-166.5154	342.9061	0.01070134	27.14909	0.3595619
216	175.3682	-170.295	345.6632	0.02401225	5.032077	0.4987598
222	182.4651	-162.1989	344.664	0.1218562	7.440443	0.1945334
228	180.8102	-161.6292	342.4394	0.2106431	32.09428	0.4442518
234	173.2784	-173.5582	346.8366	0.06126732	1.823198	0.3204076
240	176.7394	-165.6897	342.429	0.6422368	23.31207	0.2623536
246	178.3055	-166.2405	344.546	0.915973	5.297216	0.2720397
252	172.9324	-174.2938	347.2262	0.3871612	0.9887287	0.3919757
258	176.2576	-169.6246	345.8822	0.1366181	3.823971	0.6642136
264	176.289	-170.9995	347.2885	0.1551452	0.9098185	0.2130753
270	182.2715	-163.4872	345.7587	0.1763009	4.202996	0.479253
276	173.9444	-171.9349	345.8793	0.708786	1.882215	0.1865854
282	182.9482	-163.064	346.0123	0.5271184	2.326038	0.269662
288	183.3994	-161.17	344.5694	0.5271184	6.814388	0.271598
294	183.0009	-163.114	346.115	0.0753095	2.991928	0.2500558
300	183.9768	-161.2705	345.2473	0.7142161	3.293862	0.2062007
306	185.3994	-158.7419	344.1414	0.4769386	9.488952	0.287734
312	181.042	-157.2829	338.3249	0.2609598	214.784	0.3357391
318	187.7716	-153.7993	341.571	0.1896857	50.24785	0.3808097
324	190.3594	-156.0103	346.3697	0.3061097	2.35299	0.4458455
330	185.7385	-160.4536	346.1921	0.5270379	2.110592	0.3137756
336	180.4186	-163.4335	343.8521	0.2124504	14.18715	0.6400533
342	182.2613	-162.3865	344.6479	0.8230309	4.036461	0.1466796
348	185.3537	-159.7486	345.1023	0.3996874	4.937099	0.2409669
354	184.7769	-158.4748	343.2517	0.7667299	13.17854	0.2460067
360	158.2687	-187.5572	345.8259	0.7764516	1.931319	0.2005581
366	160.3433	-182.3186	342.6619	0.5622537	20.57508	0.2293661
372	186.6574	-157.4887	344.1462	0.3686244	10.88373	0.4185585
378	186.7074	-158.0616	344.769	0.1865207	8.0817	0.3739056
384	185.2384	-161.0749	346.3132	0.1042859	2.324625	0.212985
390	187.2012	-158.5536	345.7548	0.02740798	4.53091	0.3569841
396	187.1886	-157.9992	345.1878	0.0138397	6.907332	0.3903448
402	181.8469	-160.3297	342.1765	0.480605	31.60498	0.3903448
408	181.4573	-163.4568	344.914	0.2641418	6.854781	0.3427815
414	175.7581	-167.8891	343.6472	0.7665645	10.80887	0.2884534
420	180.9051	-163.6583	344.5635	0.4445555	6.695552	0.2172816
426	180.9329	-164.4317	345.3646	0.1211202	5.78793	0.5361586
432	178.8061	-163.8082	342.6144	0.2405135	27.71113	0.3321201
438	179.9868	-163.5825	343.5693	0.2794673	15.86182	0.6968669
444	183.6978	-163.2065	346.9043	0.4510123	1.25583	0.3718836
450	177.6885	-169.3544	347.043	0.3354593	1.116384	0.2803005
456	172.8906	-169.9797	342.8703	0.1042803	22.52427	0.1962686
462	170.0133	-175.1291	345.1424	0.5963953	4.396248	0.2826242
468	170.0431	-174.1385	344.1816	0.278669	9.950645	0.2411109
474	174.8532	-170.6374	345.4906	0.3895926	4.328359	0.416706
480	175.96	-168.0206	343.9806	0.5449212	10.86049	0.5643094
486	176.334	-169.9308	346.2648	0.1542545	2.899731	0.5464827
492	181.0969	-163.7134	344.8103	0.681586	4.186995	0.1624354
498	178.3627	-166.8285	345.1912	0.5888378	4.186995	0.26721
504	182.4219	-162.4846	344.9065	1.160487	2.524177	0.1447033
510	175.1727	-170.2555	345.4282	0.3547598	4.082477	0.2504146
516	171.9382	-171.1364	343.0745	0.2081056	22.45547	0.3963868
522	172.4945	-173.053	345.5474	0.1948337	4.443621	0.2950458
528	175.3562	-171.2357	346.5919	0.04893471	2.158951	0.2768375
534	180.4836	-164.9956	345.4792	0.03575789	5.453065	0.3477569
540	178.7191	-165.2671	343.9861	0.0174675	12.62313	0.2103175
546	180.697	-162.7587	343.4557	0.1478591	16.40278	0.2243118
552	179.4966	-167.0339	346.5304	0.2759926	1.88861	0.282092
558	177.4609	-167.0843	344.5452	0.02417667	8.603735	0.1958967
564	167.3352	-179.0069	346.3421	0.5598254	1.414823	0.1846525
570	177.8007	-165.8747	343.6755	0.1230225	12.3539	0.1451944
576	177.0356	-167.4625	344.498	0.4826111	7.07274	0.2399337
582	183.5865	-162.4057	345.9922	0.4826111	2.502286	0.2849321
588	182.3217	-163.0384	345.3602	0.5150982	4.125963	0.3204991
594	172.5226	-169.5396	342.0622	1.367962	13.3776	0.1057865
600	173.6663	-169.759	343.4253	0.7189189	13.3776	0.3571292
606	171.058	-172.2561	343.3141	0.2454292	19.46145	0.5001
612	173.7928	-171.4995	345.2923	0.253805	4.662422	0.2254253
618	172.4729	-172.5826	345.0556	0.2070968	6.680922	0.4144152
624	164.0068	-177.5864	341.5932	0.1203687	49.91783	0.3132888
630	182.8662	-162.8869	345.753	0.0616284	4.181495	0.2876349
636	180.5409	-162.9318	343.4727	0.7967212	11.86673	0.2923758
642	184.0307	-161.6875	345.7182	0.3109733	3.789565	0.3631664
648	178.0514	-166.9702	345.0216	0.0112618	7.872246	0.4776
654	176.0742	-168.0415	344.1157	0.2143906	11.75443	0.3295041
660	177.1876	-168.8891	346.0767	0.210828	2.955801	0.29965
666	176.3545	-168.8099	345.1644	0.9537525	2.534099	0.1567865
672	172.1451	-171.9972	344.1422	0.1768117	12.38849	0.4705585
678	166.838	-175.0363	341.8744	0.2974266	40.73295	0.3826409
684	177.4957	-165.0217	342.5174	1.093571	11.06737	0.09030338
690	175.8597	-167.9678	343.8275	0.6496791	8.125103	0.149
696	169.4699	-175.9449	345.4147	0.6496791	3.149847	0.2231472
702	168.6929	-176.0556	344.7485	0.5065653	6.429852	0.3252896
708	175.5611	-167.9461	343.5072	0.5174572	12.43309	0.2089955
714	172.0078	-172.7703	344.7781	0.5335088	6.436607	0.401487
720	178.3651	-166.959	345.3241	0.0993852	5.92993	0.3876168
726	173.7621	-171.1724	344.9345	0.4901578	5.92993	0.3896705
732	179.682	-165.181	344.863	0.527598	6.140556	0.4262419
738	175.6928	-167.5951	343.2879	1.045434	9.184779	0.1589813
744	177.2191	-167.0681	344.2872	0.1982514	9.184779	0.2015515
750	179.2037	-166.7908	345.9945	0.1427236	3.527435	0.3823998
756	175.2117	-169.9093	345.121	0.3227559	5.201994	0.2482618
762	173.4894	-172.1337	345.6231	0.3897153	3.905672	0.4021301
768	178.022	-166.4062	344.4282	0.2369811	9.952582	0.4456768
774	182.1759	-163.926	346.1018	0.5777372	2.300927	0.3878469
780	183.4217	-161.3946	344.8163	0.1931424	7.979706	0.4574311
786	177.12	-167.8566	344.9766	0.1931424	6.465707	0.8355648
792	167.7858	-177.0213	344.8071	0.2236461	7.731478	0.3866677
798	167.0062	-177.3022	344.3083	0.1178094	11.58103	0.5457139
804	179.9509	-166.8812	346.8321	0.5241445	1.002233	0.2161618
810	177.8127	-165.9911	343.8038	0.4253899	10.94144	0.2083401
816	179.3436	-164.8401	344.1838	0.4858062	8.684474	0.2398786
822	176.2988	-169.144	345.4428	0.1800048	5.100352	0.3639821
828	172.2124	-170.5277	342.74	0.6327667	17.5521	0.1847036
834	186.7997	-159.7469	346.5466	0.0150977	2.533179	0.3869056
840	185.7985	-160.1827	345.9812	0.009129513	3.826773	0.3335545
846	174.7552	-167.574	342.3292	0.3993571	26.88933	0.2224981
852	182.4797	-162.1255	344.6053	1.146451	3.196596	0.1412116
858	177.6151	-168.0152	345.6302	0.556515	3.116588	0.2771359
864	173.3892	-167.5334	340.9226	0.5380397	49.97974	0.1909513
870	172.2612	-170.4362	342.6974	0.4454814	23.57705	0.3277815
876	165.952	-180.8376	346.7896	0.2529258	1.729636	0.52687
882	174.056	-169.3985	343.4545	0.5008664	13.51241	0.2358957
888	165.1047	-177.6889	342.7935	0.4102175	18.54581	0.1648216
894	175.1374	-169.027	344.1645	0.2904744	11.40342	0.5013383
900	178.3476	-167.1605	345.5081	0.2576692	4.422414	0.3079117
906	178.3742	-166.8496	345.2238	0.542018	4.422414	0.3079117
912	164.5427	-178.3741	342.9168	0.3682052	22.23996	0.3718913
918	163.8697	-178.7081	342.5778	0.4360978	22.23996	0.2018368
924	164.3335	-181.7953	346.1289	0.5250422	2.362723	0.3997979
930	171.8644	-173.3077	345.1721	0.2538175	5.632135	0.3071708
936	176.6247	-166.8796	343.5043	0.4838589	15.1329	0.4717953
942	171.6283	-171.1594	342.7878	0.4320806	23.31343	0.4045031
948	178.6217	-164.2165	342.8382	0.3816895	23.31343	0.4045031
954	180.2616	-162.5766	342.8382	0.3816895	23.31343	0.4045031
960	176.584	-166.2542	342.8382	0.3816895	23.31343	0.4045031
966	182.093	-160.7451	342.8382	0.3816895	23.31343	0.4045031
972	173.7585	-171.9975	345.756	0.05976118	4.586409	0.4840068
978	177.4441	-168.6855	346.1296	0.299581	2.545122	0.2695663
984	173.7041	-170.2557	343.9598	0.3308992	11.49948	0.273199
990	174.297	-168.3599	342.6569	0.6520353	21.06646	0.2993661
996	171.3367	-171.2471	342.5838	0.5273734	24.99243	0.453079
1002	170.6625	-171.8039	342.4664	0.615274	24.99243	0.3802599
1008	171.2216	-168.8897	340.1113	0.1778155	103.8516	0.5372987
1014	172.2185	-168.2084	340.4268	0.1179	72.70952	0.1505443
1020	173.6729	-165.8906	339.5636	0.06410515	122.3885	0.2035268
